,NameSpe,Price,OldP,Discount,RatNo,oldP
107,"Samsung Galaxy A31 - 6.4"" - 128GB + 4GB - Dual SIM - Prism Crush Blue","KSh 23,060","KSh 31,000",26%,4.7 out of 5(13),
108,"XIAOMI Redmi 9A, 6.53"", 2 GB + 32 GB 5000mAh (Dual SIM) - Green","KSh 9,699","KSh 9,999",3%,4.5 out of 5(54),
109,"Tecno Spark 4- 6.52""- 32GB + 2GB- Dual SIM 4G -Vacation Blue+ FREE Bluetooth Earphone","KSh 11,199","KSh 16,000",30%,4.5 out of 5(38),
110,"Tecno Spark 5 Pro, 6.6"", 64GB + 3GB RAM (Dual SIM), 5000 MAh, Ice Jadeite","KSh 13,200","KSh 16,999",22%,4 out of 5(1),
111,Tecno T301 Dual Sim - Gold With Memory Card Slot Upto 32 GB,"KSh 1,221","KSh 1,236",1%,4.2 out of 5(80),
112,"Wiko Jerry4- 5.99"" -16GB ROM - 8MP Camera - Dual SIM - GRADIENT DARK BLUE","KSh 5,999","KSh 6,999",14%,4.6 out of 5(5),
113,Ray LTE_1GB/8GB-4G_Black+FREE COVER+SELFIE,"KSh 4,199","KSh 6,000",30%,4.4 out of 5(44),
114,"Nokia 6.1 Plus 5.8"" 4GB+64GB (Dual SIM) - Black","KSh 16,650","KSh 30,000",45%,4.6 out of 5(40),
115,Oukitel C19 4G Smartphone 6.49 Inch Android 10 Go 2GB RAM 16GB ROM 4000mAh - Black,"KSh 6,900","KSh 13,529",49%,5 out of 5(1),
116,Homtom HT80 IP68 Waterproof Smartphone 4G LTE Android 10 5.5 Inch Mobile Phone,"KSh 6,999","KSh 12,999",46%,3.3 out of 5(8),
117,XIAOMI Mi Piston In-Ear Earphones Headphones Woofer Headset Silver,KSh 747,KSh 797,6%,4.8 out of 5(13),
118,Nokia 5130 XpressMusic Mobile Phone Bluetooth Russian Keyboard Support Cell Phone,"KSh 2,200","KSh 4,000",45%,3.3 out of 5(3),
